,Pick,Years,Games,Minutes,FieldGoal_pcent,ThreePoint_pcent,Freethrow_pcent,Minutes_pg,Points_pg,Rebounds_pg,Assists_pg,Winshares,Winshares_p48,Box_plusminus,Value_over_replacement
401,42,2,100,1272,0.381,0.394,0.7,12.7,3.5,1.0,0.8,0.1,0.005,-5.8,-1.2
402,43,9,555,9182,0.453,0.362,0.757,16.5,6.7,3.1,0.9,16.8,0.088,-1.7,0.6
403,44,1,41,407,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
404,45,3,113,1961,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5
405,46,6,271,5358,0.419,0.383,0.84,19.8,5.9,1.6,1.4,6.5,0.059,-2.3,-0.4
406,47,1,17,52,0.25,0.2,0.0,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2
407,48,2,69,1089,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.7,-0.2
408,49,8,472,6714,0.517,0.218,0.74,14.2,5.4,4.6,1.4,17.8,0.128,0.9,5.0
409,50,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,51,1,10,54,0.143,0.0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1
411,52,2,37,164,0.52,0.0,0.6,4.4,0.9,1.0,0.2,0.2,0.061,-5.6,-0.2
412,53,1,41,540,0.513,0.0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-3.6,-0.2
413,54,2,45,247,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-7.0,-0.3
414,55,2,7,21,0.0,0.0,0.0,3.0,0.0,0.9,0.3,-0.3,-0.597,-25.5,-0.1
415,56,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,57,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,58,2,98,1397,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4
418,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,60,4,189,2745,0.436,0.0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4.0,-1.4
420,1,12,662,22698,0.472,0.392,0.884,34.3,23.4,3.9,5.7,78.2,0.165,4.5,37.0
421,2,7,428,8864,0.434,0.3,0.71,20.7,8.9,4.0,0.7,14.1,0.076,-1.6,0.8
422,3,11,748,16101,0.548,0.289,0.777,21.5,11.2,7.8,0.9,52.8,0.157,-0.1,7.6
423,4,11,730,19556,0.519,0.263,0.605,26.8,9.0,8.4,1.0,47.6,0.117,-1.7,1.4
424,5,11,761,19750,0.562,0.356,0.788,26.0,13.5,9.5,1.2,71.9,0.175,1.0,14.8
425,6,3,162,2455,0.521,0.0,0.408,15.2,3.6,3.5,0.6,4.0,0.078,-2.6,-0.4
426,7,12,788,15390,0.532,0.0,0.557,19.5,5.1,5.9,0.6,30.4,0.095,-2.6,-2.2
427,8,9,451,13202,0.411,0.352,0.807,29.3,14.0,3.1,3.9,11.6,0.042,-1.6,1.4
428,9,12,750,24810,0.418,0.36,0.84,33.1,19.3,3.8,5.3,59.9,0.116,2.8,29.8
429,10,6,241,3213,0.409,0.372,0.879,13.3,6.0,1.0,1.4,2.2,0.033,-2.5,-0.4
430,11,10,705,23186,0.456,0.416,0.852,32.9,19.8,3.5,2.3,51.1,0.106,0.7,15.8
431,12,12,676,15501,0.419,0.384,0.801,22.9,10.8,3.5,2.0,28.7,0.089,-0.4,6.2
432,13,12,747,18033,0.446,0.343,0.778,24.1,10.6,5.1,1.6,27.5,0.073,-1.4,2.8
433,14,12,778,21143,0.435,0.377,0.773,27.2,12.4,4.5,1.5,38.5,0.087,-0.6,7.2
434,15,11,618,19432,0.495,0.387,0.86,31.4,19.6,6.4,3.0,89.2,0.22,6.8,43.3
435,16,12,809,25171,0.495,0.348,0.761,31.1,17.0,10.5,2.8,65.6,0.125,2.2,27.0
436,17,10,461,11470,0.391,0.337,0.764,24.9,7.2,3.3,1.8,12.9,0.054,-1.7,0.9
437,18,3,148,2605,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8
438,19,12,816,25699,0.477,0.368,0.83,31.5,16.2,6.2,2.3,63.1,0.118,1.0,19.5
439,20,6,251,4566,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5
440,21,2,84,829,0.371,0.26,0.714,9.9,3.3,1.0,1.2,-0.8,-0.047,-6.0,-0.8
441,22,8,478,11728,0.546,0.222,0.654,24.5,11.4,8.1,1.0,38.8,0.159,0.5,7.5
442,23,5,319,7718,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1
